2,1,7,1,410,,434,,1,1,16,
2,2,7,3,405,509,429,495,2,2,71,
1,1,6,2,398,,449,,1,1,53,
2,2,7,2,421,,449,,2,2,79,
2,2,8,2,,536,,542,2,4,37,
2,2,5,2,458,436,547,477,1,2,12,
1,2,8,3,460,516,513,535,2,2,1,
1,2,8,3,456,604,536,578,2,3,24,
1,1,8,2,388,,392,,1,1,18,
1,1,5,2,414,469,484,502,1,1,33,
1,2,8,1,414,,463,,1,2,3,
2,1,7,1,413,,418,,1,3,20,
2,2,6,3,437,548,500,535,2,2,8,
1,2,5,1,,505,,567,2,3,51,
1,2,6,2,413,,454,,1,2,3,
2,2,7,1,416,,468,,1,2,49,
1,2,5,2,433,478,520,505,2,2,76,
2,1,7,2,422,,444,,1,1,22,
1,2,6,1,421,477,473,497,2,4,48,
2,2,5,3,431,,520,,2,3,17,
1,2,5,2,408,,494,518,1,2,70,
1,2,8,3,397,460,412,479,2,2,56,
2,1,5,1,411,,449,,1,1,32,
1,2,8,1,433,499,506,495,1,3,4,
2,1,7,1,,478,,484,2,2,1,
2,2,3,1,455,629,576,653,2,4,59,
2,2,6,2,,564,,562,2,2,66,
2,1,7,3,421,512,489,584,2,1,28,
2,2,8,1,400,,468,,2,2,78,
1,1,7,3,437,,528,,1,1,32,
1,2,2,3,,430,,463,1,2,79,
1,2,8,2,433,488,444,523,2,2,64,
2,2,5,3,527,651,547,592,2,3,51,
2,2,6,1,405,434,463,493,1,2,49,
1,2,7,2,413,509,429,493,1,2,47,
2,2,8,2,413,482,473,529,2,3,36,
1,2,5,2,430,536,484,529,2,2,12,
1,2,7,1,453,527,468,535,2,2,64,
1,2,6,1,468,,536,,2,3,46,
